dataset,case,sample_id,question,fixed_coverage_at_5,structure_coverage_at_5,multi_query_coverage_at_5,structure_top_5,multi_query_top_5
hard_dev,HARD_NEGATIVE_ORDERING_FAIL,hard_dev_007,一个容器要按用户 ID 定位会话，并且会被多个线程并发访问；另一个容器只保存标签，重复标签必须合并。两处分别该如何选择集合？,0.0,0.0,0.0,chunk_e110f5cb4518e21e|chunk_8a7b3acb7f667bbf|chunk_488d792cf1a3d15d|chunk_32113afaf3b2ad5f|chunk_3a338c4e549ad116,chunk_e110f5cb4518e21e|chunk_8a7b3acb7f667bbf|chunk_488d792cf1a3d15d|chunk_32113afaf3b2ad5f|chunk_3a338c4e549ad116
hard_dev,HARD_NEGATIVE_ORDERING_FAIL,hard_dev_009,为什么可重入锁、信号量和倒计时器能共用一套资源获取与释放骨架，而只实现各自的同步规则？,0.0,0.0,0.0,chunk_92c9e78fb509b732|chunk_c5f1d09666f176e2|chunk_cfac362929310c30|chunk_11cd024d16a5561b|chunk_a86487c87a5b7aee,chunk_cfac362929310c30|chunk_f4ec5d35c1988ae0|chunk_3c13a561735a2ba5|chunk_92c9e78fb509b732|chunk_c5f1d09666f176e2
hard_dev,HARD_NEGATIVE_ORDERING_FAIL,hard_dev_010,同一把显式锁下需要把线程分到多个等待集合，并且某些等待要支持超时或不响应中断，应使用什么协作机制？,0.0,0.0,0.0,chunk_9d68f290e934ecae|chunk_a1c09f22440dd6ee|chunk_0f0f74be7d19720c|chunk_764f0091cf55219f|chunk_ba0a48f33b7e005f,chunk_9d68f290e934ecae|chunk_a1c09f22440dd6ee|chunk_0f0f74be7d19720c|chunk_764f0091cf55219f|chunk_ba0a48f33b7e005f
hard_dev,FIXED_SUCCESS_STRUCTURE_FAIL,hard_dev_018,日志、监控这类逻辑散落在多个核心业务流程里，若想把这些横向关注点抽离出来，应采用哪种编程思想？,1.0,0.0,0.0,chunk_4f06fc44fe4a4510|chunk_1ae8902776b588ef|chunk_0028bea4844894bb|chunk_8b7b76d142fc89d9|chunk_e35bb21a1464382c,chunk_4f06fc44fe4a4510|chunk_1ae8902776b588ef|chunk_0028bea4844894bb|chunk_8b7b76d142fc89d9|chunk_e35bb21a1464382c
hard_dev,STRUCTURE_SUCCESS_FIXED_FAIL,hard_dev_019,转账要么全部成功要么全部失败，与转账前后总额不变，分别对应事务的哪两个性质？,0.0,1.0,1.0,chunk_67c577e85db6a3de|chunk_b9d04dd8d2592538|chunk_542c8ecc61348f44|chunk_00cacfe616bb4f4a|chunk_f2131a4e0f7fa9de,chunk_67c577e85db6a3de|chunk_542c8ecc61348f44|chunk_b9d04dd8d2592538|chunk_00cacfe616bb4f4a|chunk_4ea158b5d2de4dde
hard_dev,FIXED_SUCCESS_STRUCTURE_FAIL,hard_dev_026,一个设置了 TTL 的键到期后没有立刻从内存消失，但稍后访问时又返回空。这种现象该从哪两种清理时机解释？,1.0,0.5,0.5,chunk_5a0a8659f5b70a0e|chunk_9136bfe7dac926da|chunk_360cff5ee22c6a8a|chunk_04940d43fa88821d|chunk_afb190f7cf3e812e,chunk_5a0a8659f5b70a0e|chunk_9136bfe7dac926da|chunk_360cff5ee22c6a8a|chunk_04940d43fa88821d|chunk_afb190f7cf3e812e
hard_dev,MULTI_QUERY_DEGRADE,hard_dev_027,过期字典记录的内容和“定期删除、惰性删除”解决的是同一件事吗？请分别说明它们的职责。,1.0,1.0,0.5,chunk_5a0a8659f5b70a0e|chunk_9136bfe7dac926da|chunk_cb9d6552d7306035|chunk_360cff5ee22c6a8a|chunk_04940d43fa88821d,chunk_5a0a8659f5b70a0e|chunk_9136bfe7dac926da|chunk_360cff5ee22c6a8a|chunk_04940d43fa88821d|chunk_86c9e432c3f954c1
hard_dev,FIXED_SUCCESS_STRUCTURE_FAIL,hard_dev_029,"发送端依次发出四段数据，第二段丢了，接收端累计确认仍停在 1000，却额外报告区间 [2000, 4000)。发送端应该重传哪一段，为什么？",1.0,0.0,0.0,chunk_84ee437601c77ff2|chunk_83441aade242f5ec|chunk_7132dcb6b0ea24b5|chunk_aaccf2eb048adb12|chunk_94a521fff1bb4310,chunk_84ee437601c77ff2|chunk_83441aade242f5ec|chunk_7132dcb6b0ea24b5|chunk_aaccf2eb048adb12|chunk_94a521fff1bb4310
hard_dev,FIXED_SUCCESS_STRUCTURE_FAIL,hard_dev_031,抓包只看到 FIN、FIN+ACK、ACK 三个报文，能否据此断言关闭流程少执行了一步？请解释形成该报文序列的条件。,1.0,0.0,0.0,chunk_c7b9920094a92aa7|chunk_a731dcc321577be9|chunk_d9184e5f9b74f404|chunk_4cc0085ccfcbce00|chunk_84ee437601c77ff2,chunk_c7b9920094a92aa7|chunk_a731dcc321577be9|chunk_d9184e5f9b74f404|chunk_4cc0085ccfcbce00|chunk_84ee437601c77ff2
hard_dev,HARD_NEGATIVE_ORDERING_FAIL,hard_dev_040,比较两种锁的“只允许一个客户端进入”和“只删除自己的锁”分别靠什么操作保证；失败者又如何等待？,0.0,0.0,0.0,chunk_f4ec5d35c1988ae0|chunk_214e7417beddbf6c|chunk_5491ace3dee452db|chunk_1f946e2ea245604d|chunk_8875276dda43de19,chunk_5491ace3dee452db|chunk_8875276dda43de19|chunk_214e7417beddbf6c|chunk_c600f147a15047d2|chunk_1f946e2ea245604d
hard_dev,MULTI_QUERY_IMPROVE,hard_dev_041,一条消息从发布到被订阅时，实例、主题和主题内部的队列边界分别由哪三个概念表达？,0.0,0.0,1.0,chunk_bd0b3355df5f1eea|chunk_a6bfcb93c7f1866b|chunk_89f28bb25f1e3260|chunk_579229267df3cf6f|chunk_d378d618ace4b63d,chunk_bd0b3355df5f1eea|chunk_89f28bb25f1e3260|chunk_579229267df3cf6f|chunk_a6bfcb93c7f1866b|chunk_369b2a16f46c4781
hard_dev,FIXED_SUCCESS_STRUCTURE_FAIL,hard_dev_045,请判断三种告警各自属于哪类缓存故障：缓存集群整体宕机、持续请求库里不存在的 id、单个高频商品键刚好过期。,1.0,0.6666666666666666,0.6666666666666666,chunk_c2a2310b83adb1db|chunk_5aa6d4c91f0b5082|chunk_f07e4d997235773d|chunk_a6bed94803080bc7|chunk_ef1e1d123d60deab,chunk_c2a2310b83adb1db|chunk_5aa6d4c91f0b5082|chunk_f07e4d997235773d|chunk_a6bed94803080bc7|chunk_ef1e1d123d60deab
